,document,clause,severity,a,ch,cr,j,law,ltd,ter,use
0,Spotify,Spotify,0,0,0,0,0,0,0,0,0
1,Spotify,•	Premium,0,0,0,0,0,0,0,0,0
2,Spotify,•	Help,0,0,0,0,0,0,0,0,0
3,Spotify,•	Download,0,0,0,0,0,0,0,0,0
4,Spotify,•,0,0,0,0,0,0,0,0,0
5,Spotify,•	Sign up,0,0,0,0,0,0,0,0,0
6,Spotify,•	Log In,0,0,0,0,0,0,0,0,0
7,Spotify,•  Legal,0,0,0,0,0,0,0,0,0
8,Spotify,•  Terms and Conditions of Use,0,0,0,0,0,0,0,0,0
9,Spotify,•  Copyright Policy,0,0,0,0,0,0,0,0,0
10,Spotify,•  Privacy Policy,0,0,0,0,0,0,0,0,0
11,Spotify,Spotify Terms and Conditions of Use,0,0,0,0,0,0,0,0,0
12,Spotify,Effective as of 1 November 2016,0,0,0,0,0,0,0,0,0
13,Spotify,1 Introduction,0,0,0,0,0,0,0,0,0
14,Spotify,2 Changes to the Agreements,0,0,0,0,0,0,0,0,0
15,Spotify,3 Enjoying Spotify,0,0,0,0,0,0,0,0,0
16,Spotify,4 Rights we grant you,0,0,0,0,0,0,0,0,0
17,Spotify,5 Third Party Applications,0,0,0,0,0,0,0,0,0
18,Spotify,6 User-Generated Content,0,0,0,0,0,0,0,0,0
19,Spotify,7 Rights you grant us,0,0,0,0,0,0,0,0,0
20,Spotify,8 User guidelines,0,0,0,0,0,0,0,0,0
21,Spotify,9 Infringement and reporting User Content,0,0,0,0,0,0,0,0,0
22,Spotify,10 Service limitations and modifications,0,0,0,0,0,0,0,0,0
23,Spotify,11 Brand Accounts,0,0,0,0,0,0,0,0,0
24,Spotify,12 Spotify Support Community,0,0,0,0,0,0,0,0,0
25,Spotify,13 Customer support,0,0,0,0,0,0,0,0,0
26,Spotify,14 Export control,0,0,0,0,0,0,0,0,0
27,Spotify,"15 Payments, cancellations, and cooling off",0,0,0,0,0,0,0,0,0
28,Spotify,16 Term and termination,0,0,0,0,0,0,0,0,0
29,Spotify,17 Warranty and disclaimer,0,0,0,0,0,0,0,0,0
30,Spotify,18 Limitation,0,0,0,0,0,0,0,0,0
31,Spotify,19 Third party rights,0,0,0,0,0,0,0,0,0
32,Spotify,20 Entire agreement,0,0,0,0,0,0,0,0,0
33,Spotify,21 Severability and waiver,0,0,0,0,0,0,0,0,0
34,Spotify,22 Assignment,0,0,0,0,0,0,0,0,0
35,Spotify,23 Indemnification,0,0,0,0,0,0,0,0,0
36,Spotify,"24 Choice of law, mandatory arbitration and venue",0,0,0,0,0,0,0,0,0
37,Spotify,25 Contact us,0,0,0,0,0,0,0,0,0
38,Spotify,"Hello, and welcome to our Terms and Conditions of Use.",0,0,0,0,0,0,0,0,0
39,Spotify,"This is important and affects your legal rights, so please read them and our Privacy Policy and other terms referenced in this document carefully.",0,0,0,0,0,0,0,0,0
40,Spotify,We hope you’re sitting comfortably and listening to some great music.,0,0,0,0,0,0,0,0,0
41,Spotify,Here we go…,0,0,0,0,0,0,0,0,0
42,Spotify,1 Introduction,0,0,0,0,0,0,0,0,0
43,Spotify,"By signing up or otherwise using the Spotify service, websites, and software applications (together, the “Spotify Service” or “Service”), or accessing any content or material that is made available by Spotify through the Service (the “Content”) you are entering into a binding contract with the Spotify entity indicated at the bottom of this document.",2,0,0,0,0,0,0,0,1
44,Spotify,"Thanks for choosing Spotify (“Spotify”, “we”, “us”, “our”).",0,0,0,0,0,0,0,0,0
45,Spotify,The Spotify Service also includes the Spotify Support Community as further described in the Spotify Support Community section.,0,0,0,0,0,0,0,0,0
46,Spotify,The Spotify Service includes social and interactive features.,0,0,0,0,0,0,0,0,0
47,Spotify,Use of the Spotify Service relies on several technical requirements.,0,0,0,0,0,0,0,0,0
48,Spotify,Your agreement with us includes these Terms and Conditions of Use (“Terms”) and our Privacy Policy.,0,0,0,0,0,0,0,0,0
49,Spotify,"(The Terms, Privacy Policy, and any additional terms that you agree to, as discussed in the Entire Agreement section, are referred to together as the “Agreements”.) If you wish to review the terms of the Agreements, the effective version of the Agreements can be found on Spotify’s website.",0,0,0,0,0,0,0,0,0
50,Spotify,"You acknowledge that you have read and understood the Agreements, accept these Agreements, and agree to be bound by them.",0,0,0,0,0,0,0,0,0
51,Spotify,"If you don’t agree with (or cannot comply with) the Agreements, then you may not use the Spotify Service or consume any Content.",0,0,0,0,0,0,0,0,0
52,Spotify,Please read the Agreements carefully.,0,0,0,0,0,0,0,0,0
53,Spotify,"They cover important information about Spotify Services provided to you and any charges, taxes, and fees we bill you.",0,0,0,0,0,0,0,0,0
54,Spotify,"The Agreements include information about future changes to the Agreements, export controls, automatic renewals, limitations of liability, privacy information, a class action waiver, and resolution of disputes by arbitration instead of in court.",0,0,0,0,0,0,0,0,0
55,Spotify,Any information that you provided during sign-up can be corrected during the sign-up process by returning to the previous screens and correcting erroneous information.,0,0,0,0,0,0,0,0,0
56,Spotify,"In order to use the Spotify Service and access the Content, you need to (1) be 18 or older, or be 13 or older and have your parent or guardian’s consent to the Agreements (except as set forth in the chart below), (2) have the power to enter a binding contract with us and not be barred from doing so under any applicable laws, and (3) be resident in a country where the Service is available.",0,0,0,0,0,0,0,0,0
57,Spotify,"You also promise that any registration information that you submit to Spotify is true, accurate, and complete, and you agree to keep it that way at all times.",0,0,0,0,0,0,0,0,0
58,Spotify,"If you are a resident of one of the following countries, reference this chart for your country-specific age restrictions:",0,0,0,0,0,0,0,0,0
59,Spotify,Country	Age Requirements,0,0,0,0,0,0,0,0,0
60,Spotify,"Chile, Ecuador, Paraguay, Peru	Must be 18 or older, or be 15 or older and have parent or guardian consent.",0,0,0,0,0,0,0,0,0
61,Spotify,"Brazil	Must be 18 or older, or be 16 or older and have parent or guardian consent.",0,0,0,0,0,0,0,0,0
62,Spotify,"Nicaragua, Taiwan	Must be 20 or older, or be 13 or older and have parent or guardian consent.",0,0,0,0,0,0,0,0,0
63,Spotify,"Bulgaria, Hungary, Germany	Must be 18 or older, or be 14 or older and have parent or guardian consent.",0,0,0,0,0,0,0,0,0
64,Spotify,Italy	Must be 13 or older to use Free Service.,0,0,0,0,0,0,0,0,0
65,Spotify,"To register for a Paid Subscription, you must be 18 or older, or be 13 or older and have parent or guardian consent (your parents/guardians will enter into contract on behalf of you).",0,0,0,0,0,0,0,0,0
66,Spotify,"Malaysia	Must be 18 or older, or if 13 to 18, parent or guardian consent is required, and guardian enters into agreement.",0,0,0,0,0,0,0,0,0
67,Spotify,Lithuania	Must be 13 or older to use Service.,0,0,0,0,0,0,0,0,0
68,Spotify,"For Paid Subscriptions, you must be 18 or older, or be 14 or older with parent or guardian consent.",0,0,0,0,0,0,0,0,0
69,Spotify,"If you are 13 to 18, guardian enters into agreement.",0,0,0,0,0,0,0,0,0
70,Spotify,Canada	Must be 13 or older to use Service.,0,0,0,0,0,0,0,0,0
71,Spotify,"For Paid Subscriptions, you must be age of majority in your province or territory of residence, or 13 or older with parent or guardian consent.",0,0,0,0,0,0,0,0,0
72,Spotify,Spain	Must be 14 or older to use Free Service.,0,0,0,0,0,0,0,0,0
73,Spotify,"To register for a Paid Subscription, you must be 18 or older, or be 14 or older and have parent or guardian consent (your parents/guardians will enter into contract on behalf of you).",0,0,0,0,0,0,0,0,0
74,Spotify,2 Changes to the Agreements,0,0,0,0,0,0,0,0,0
75,Spotify,"Occasionally we may, in our discretion, make changes to the Agreements.",2,0,1,0,0,0,0,0,0
76,Spotify,"In some cases, we will notify you in advance, and your continued use of the Service after the changes have been made will constitute your acceptance of the changes.",2,0,0,0,0,0,0,0,1
77,Spotify,"When we make material changes to the Agreements, we’ll provide you with prominent notice as appropriate under the circumstances, e.g., by displaying a prominent notice within the Service or by sending you an email.",0,0,0,0,0,0,0,0,0
78,Spotify,Please therefore make sure you read any such notice carefully.,0,0,0,0,0,0,0,0,0
79,Spotify,"If you do not wish to continue using the Service under the new version of the Agreements, you may terminate the Agreements by contacting us through the Customer Service contact form.",0,0,0,0,0,0,0,0,0
80,Spotify,3 Enjoying Spotify,0,0,0,0,0,0,0,0,0
81,Spotify,Here’s some information about all the ways you can enjoy Spotify.,0,0,0,0,0,0,0,0,0
82,Spotify,3.1 Our Services & Paid Subscriptions,0,0,0,0,0,0,0,0,0
83,Spotify,Spotify provides streaming services offering a selection of music and other content.,0,0,0,0,0,0,0,0,0
84,Spotify,Certain Spotify services are provided to you free-of-charge.,0,0,0,0,0,0,0,0,0
85,Spotify,Other Spotify services require payment before you can access them.,0,0,0,0,0,0,0,0,0
86,Spotify,"The Spotify services that may be accessed after payment are currently referred to as the “Premium Service” and the “Unlimited Service” (together, the “Paid Subscriptions”).",0,0,0,0,0,0,0,0,0
87,Spotify,The Spotify service that does not require payment is currently referred to as the “Free Service”.,0,0,0,0,0,0,0,0,0
88,Spotify,You can learn more about our services by visiting our website.,0,0,0,0,0,0,0,0,0
89,Spotify,The Unlimited Service may not be available to all users.,0,0,0,0,0,0,0,0,0
90,Spotify,We will explain which services are available to you when you are signing up for the services.,0,0,0,0,0,0,0,0,0
91,Spotify,"If you cancel your subscription to the Unlimited Service, or if your subscription to the Unlimited Service is interrupted (for example, if you change your payment details), you may not be able to re-subscribe for the Unlimited Service.",0,0,0,0,0,0,0,0,0
92,Spotify,"Note that the Unlimited Service may be discontinued in the future, in which case you will no longer be charged for the Service.",0,0,0,0,0,0,0,0,0
93,Spotify,"If you reside in Turkey, your access to the Free Service may be limited to a fixed amount of listening hours per month.",0,0,0,0,0,0,0,0,0
94,Spotify,3.2 Codes and other pre-paid offers,0,0,0,0,0,0,0,0,0
95,Spotify,"If you have purchased or received a code, gift card, pre-paid offer or other offer provided or sold by or on behalf of Spotify for access to a Paid Subscription (“Code”), separate terms and conditions presented to you along with the Code may also apply to your access to the Service and you agree to comply with any such terms and conditions.",0,0,0,0,0,0,0,0,0
96,Spotify,3.3 Trials,0,0,0,0,0,0,0,0,0
97,Spotify,"<ter3><ltd2>Spotify reserves the right, in its absolute discretion, to determine your eligibility for a Trial, and, subject to applicable laws, to withdraw or to modify a Trial at any time without prior notice and with no liability, to the greatest extent permitted under the law.</ltd2></ter3>",2,0,1,0,0,0,0,0,0
98,Spotify,"From time to time, we or others on our behalf may offer trials of Paid Subscriptions for a specified period without payment or at a reduced rate (a “Trial”).",0,0,0,0,0,0,0,0,0
99,Spotify,"For some Trials, we’ll require you to provide your payment details to start the Trial.",0,0,0,0,0,0,0,0,0
100,Spotify,"AT THE END OF SUCH TRIALS, WE MAY AUTOMATICALLY START TO CHARGE YOU FOR THE APPLICABLE PAID SUBSCRIPTION ON THE FIRST DAY FOLLOWING THE END OF THE TRIAL, ON A RECURRING MONTHLY BASIS.",0,0,0,0,0,0,0,0,0
101,Spotify,"BY PROVIDING YOUR PAYMENT DETAILS IN CONJUNCTION WITH THE TRIAL, YOU AGREE TO THIS CHARGE USING SUCH PAYMENT DETAILS.",0,0,0,0,0,0,0,0,0
102,Spotify,"IF YOU DO NOT WANT THIS CHARGE, YOU MUST CANCEL THE APPLICABLE PAID SUBSCRIPTION THROUGH YOUR SPOTIFY ACCOUNT’S SUBSCRIPTION PAGE OR TERMINATE YOUR SPOTIFY ACCOUNT BEFORE THE END OF THE TRIAL.",0,0,0,0,0,0,0,0,0
