id,title,description,classification
175,You can delete your content from this service,"You can ask the service to remove your content at any time, and it's deleted within a reasonable time.",good
130,A license is kept on user-generated content even after you close your account,"The service may still use your content and display it after you stopped using it by closing your account. The case applies to terms requiring users to grant them a perpetual license over that content.
",bad
129,This service tracks you on other websites,"The service may use tracking technologies in third-party websites to track your online activity while you aren't visiting their Site.
",bad
237,You agree to comply with the law of the service's country,"By using the service, you agree to comply with the applicable laws of the service's jurisdiction, regardless of your location.",neutral
173,This service retains rights to your content even after you stop using your account,"The service may still use your content and display it after you stopped using it by closing your account, since you granted them a perpetual or (in some cases) an unlimited license over that content.",bad
169,The service is transparent regarding government requests or inquiries that may involve your data.,Weight was 30.,neutral
133,very broad,,bad
162,The service has a no refund policy,Payments are final and can't be refunded unless required by law.,neutral
171,Features of the website are made available under a free software license,"This case applies to services under licenses that are free as in ""freedom"". According to the Free Software Foundation, ""free software is the software that grants the user the freedom to share, study, and modify it"". Furthermore, the code is entirely open source and may be used without any restriction, including for commercial purposes.",good
238,You agree not to submit illegal content,,neutral
138,Instructions are provided on how to submit a copyright claim,"If content that you own is copied or made accessible through the service in a way that constitutes an intellectual property right infringement, you can report it following the instructions given in the agreements. ",neutral
168,The service is not transparent regarding government requests or inquiries that may involve your data. ,Weight was 30.,neutral
136,The copyright license that you grant this service is limited to the parties that make up the service's broader platform.,,neutral
132,The copyright license maintained by the service over your data and/or content is broader than necessary.,,bad
122,"The terms may be changed at any time, but you will receive notification of the changes","The Terms may be updated without prior notice, but users will be notified of the changes at the moment they will start applying.",neutral
276,The service can intervene in user disputes,"If you have a dispute with another user on this service, they can review the issue and intervene. However, they don't have an obligation to do so.

",neutral
235,none,"Do not select this case, because points with this case will not show up on tosdr.org",neutral
229,You cannot distribute or disclose your account to third parties,"In this context third-parties refers to anyone including friends, family, or company ",neutral
179,This service takes credit for your content,,bad
154,This service cannot be held responsible for disputes that you may have with other users,"You are responsible for the interactions and the disputes that may occur with other users of the Service. In the event of a dispute, you release the Service from all claims resulting from it.",neutral
149,Any liability on behalf of the service is only limited to the fees you paid as a user,,bad
134,Your content can be licensed to third parties,"By posting content through the Services, users grant them a transferable and/or sublicensable right, which allows user content to be licensed to third parties.",bad
408,This service informs you that its Terms of Service does not apply to third party websites,"The service states that whenever it links to third party websites or applications, its Terms of Service does not apply. Those third party websites or applications hosted or operated by other organizations may have their Terms of Service.",neutral
155,"If you are the target of a copyright holder's take down notice, this service gives you the opportunity to defend yourself",You have the right to send a counter-notice to the service if you believe the content that was removed wasn't infringing any copyright.,good
224,You cannot opt out of promotional communications,This applies to cases where opting out of promotional communications requires sending a written letter by mail or is otherwise more complicated and time consuming than necessary.,bad
280,You agree not to use the service for illegal purposes,"The user agrees not to commit any unlawful acts through the use of the website, including the posting of illegal content or messaging.",neutral
147,"Defend, indemnify, hold harmless; survives termination",,neutral
139,Your content can be distributed through any media known now or in the future,,neutral
226,Information is provided about security practices,It's important to know what security measures are taken to protect your data from unauthorized access. This case applies to the Agreements that precisely explain their security practices.,good
137,You are free to choose the type of copyright license that you want to use over your content,You have the right to choose or change the copyright license over content you publish through the Service.,good
214,"You must provide your legal name, pseudonyms are not allowed",You must provide your legal name and pseudonyms aren't allowed. This case doesn't apply to Services for which transparency regarding users identities is relevant for their purposes.,bad
222,You can choose the copyright license,You have the right to choose or change the license over content you publish through the Service.,good
143,This service is only available for use individually and non-commercially.,"Users can't use the Service for commercial purposes (unless the Service consents): it is only for personal, individual purposes.",neutral
141,Inconvenient process for obtaining personal data,This applies to cases where obtaining personal data requires sending a written letter by mail or is otherwise more complicated and time consuming than necessary.,bad
227,Information is provided about how your personal data is used,"The Privacy Policy explains the purposes for which data is collected and the way it is processed, used and shared.",good
220,Your personal data is used to employ targeted third-party advertising,"Your Personal Information is traded and shared with advertising companies to target ads on you, either on the website you were visiting or in third party websites. Your interaction with the service and data you have shared with them may be gathered to create an advertising ID or profile.",bad
127,"Third party cookies are employed, but with opt out instructions",,bad
213,"You are not allowed to use pseudonyms, as trust and transparency between users regarding their identities is relevant to the service.","You must provide your legal name and pseudonyms aren't allowed, but it makes sense for the purposes of this service.",neutral
212,Pseudonyms are allowed due to the service's billing policies,,neutral
231,You are informed about the risk of publishing personal info online,,good
